,track_id,artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity
0,7hUhmkALyQ8SX9mJs5XI3D,Love and Rockets,Love and Rockets,Motorcycle,211533,False,0.305,0.849,9,-10.795,1,0.0549,5.82e-05,0.0567,0.464,0.32,141.793,4,goth,22
1,5x59U89ZnjZXuNAAlc8X1u,Filippa Giordano,Filippa Giordano,"Addio del passato - From ""La traviata""",196000,False,0.287,0.19,7,-12.03,0,0.037,0.93,0.000356,0.0834,0.133,83.685,4,opera,22
2,70Vng5jLzoJLmeLu3ayBQq,Susumu Yokota,Symbol,Purple Rose Minuet,216506,False,0.583,0.509,1,-9.661,1,0.0362,0.777,0.202,0.115,0.544,90.459,3,idm,37
3,1cRfzLJapgtwJ61xszs37b,Franz Liszt;YUNDI,Relajación y siestas,"Liebeslied (Widmung), S. 566",218346,False,0.163,0.0368,8,-23.149,1,0.0472,0.991,0.899,0.107,0.0387,69.442,3,classical,0
4,47d5lYjbiMy0EdMRV8lRou,Scooter,Scooter Forever,The Darkside,173160,False,0.647,0.921,2,-7.294,1,0.185,0.000939,0.371,0.131,0.171,137.981,4,techno,27
5,6m1TWFMeon7ai9XLOzdbiR,BTS,Love Yourself 轉 'Tear',FAKE LOVE,242333,False,0.557,0.719,2,-4.515,0,0.0371,0.00267,0.0,0.306,0.345,77.502,4,pop,76
6,2hVaNGGvdvvzRPCK9BUZmA,Rosie Thomas;The Shins;Sufjan Stevens;Josh Ottum,Always Be My Baby,Always Be My Baby,254306,False,0.516,0.311,1,-13.521,1,0.0306,0.936,0.000281,0.107,0.558,129.958,4,acoustic,51
7,4XnOAcX5K9XojJC5o0MlqT,"Sarah, the Illstrumentalist",No Traffic in LA,Finally Out,130634,False,0.725,0.632,6,-11.681,0,0.0358,0.103,0.951,0.0847,0.312,122.983,4,study,7
8,0wwa9lg3yCKyyOkJLAEtod,Waveum,In The Third Move,Limewire,79764,False,0.83,0.261,11,-18.671,1,0.1,0.638,0.934,0.114,0.341,85.009,4,study,31
9,2spyaDFRS112FVYq9UZ6Xu,Dj T.H.;Mitraz,Chasing Stars,Chasing Stars - Extended Mix,354375,False,0.669,0.918,0,-3.301,0,0.047,0.000981,0.0261,0.521,0.37,129.984,4,trance,21
10,569BGSWQapYD8Niuy67Cal,Seven Lions;Blastoyz;Fiora,After Dark (feat. Fiora),After Dark (feat. Fiora),229859,False,0.558,0.976,1,-3.906,0,0.125,0.00316,0.38,0.166,0.301,142.003,4,progressive-house,48
11,2qSnqsLv7b9GbWFhyZJwMM,Burna Boy;Blxst;Kehlani,The Look - R&B Feels,Solid,195134,True,0.554,0.509,1,-9.429,1,0.339,0.149,1.86e-05,0.094,0.718,199.874,4,dance,0
12,7IvxwaADtpY4PQB11yt9oF,Israell Muniz;Wesley Safadão,Eu Vou Tirar Você do Cabaré,Eu Vou Tirar Você do Cabaré,120000,False,0.743,0.764,5,-9.575,0,0.0575,0.292,0.0,0.0919,0.916,157.95,4,forro,39
13,1IDozgb2HiuB31FXbUsvJJ,Capital Inicial,Rosas e Vinho Tinto,Olhos Vermelhos,213960,False,0.339,0.455,7,-7.308,1,0.0287,0.0141,0.0,0.136,0.229,133.741,4,mpb,41
14,4axYWgXASdsCBHuwInAubT,XXXTENTACION,SKINS,I don’t let go,121630,True,0.797,0.293,5,-7.479,1,0.08,0.591,0.0724,0.148,0.478,80.035,4,emo,65
15,7cq2nIdClANqlwH4okuYm3,UM44K;Luan Otten,Melhor pensar,Melhor pensar,205345,False,0.665,0.431,8,-7.119,1,0.0306,0.416,0.0,0.174,0.698,149.935,4,mpb,48
16,1hxZzUfdkfAI5qwJPknp1R,Rik Gaynor,Kids Bopper's Party,Witch Doctor - Party Dance Mix,172225,False,0.849,0.854,0,-7.093,1,0.193,0.0669,0.0,0.076,0.757,135.992,4,kids,11
17,6uwjDA0Qi6hk8C6lPJIMc9,Zeds Dead;Subtronics;Flowdan,Gassed Up,Gassed Up,238285,True,0.643,0.985,4,-1.848,0,0.41,0.0152,0.000965,0.311,0.182,140.029,4,dubstep,58
18,5k0xcYedZDXWe48vkgehCc,Busy Signal;Oh Gosh,Perfect Spot (Oh Gosh Remix),Perfect Spot - Oh Gosh Remix,184421,False,0.862,0.792,6,-6.177,1,0.0651,0.188,0.00221,0.0882,0.741,94.991,4,dancehall,60
19,1llEDq837U8lS5BEeNT8fk,THE MODS,NEWS BEAT,ゴキゲンRADIO,165186,False,0.554,0.805,11,-10.681,1,0.0417,0.0112,7.44e-05,0.356,0.766,102.684,4,rockabilly,23
20,0lSxCkPszvnXmXMdybir5k,Canciones Infantiles;Musica Infantil;Rondas Infantiles,Subete Al Tren de La Alegria,Las Frutas,206880,False,0.894,0.65,2,-11.501,1,0.0389,0.00113,0.421,0.175,0.988,105.064,4,children,28
21,5XiVCvi3bXYcFCRpRxk0p2,my little airport,I ALSO DON'T KNOW (Live),你說之後會找我 - LIVE,185317,False,0.426,0.227,0,-13.427,1,0.0309,0.422,0.00351,0.617,0.263,140.393,4,cantopop,32
22,3xoeyCTIlvBaLuTmewPRwL,Hasan Raheem;Abdullah Kasumbi;Talhah Yunus,Weli Ho,Weli Ho,200439,False,0.785,0.553,10,-12.165,1,0.144,0.163,2.37e-05,0.182,0.906,90.971,4,indie-pop,44
23,5NpLeFA93egooOzqIh9jZu,Enrique Guzman,Grandes éxitos (Remastered),El mar - Remastered,179004,False,0.462,0.374,2,-10.694,0,0.0341,0.712,0.0,0.108,0.653,132.705,4,rock-n-roll,30
24,27pyhbC00sCtwKPhlQtOGe,My Chemical Romance,Timeless Rock Hits,Teenagers,161920,False,0.459,0.858,4,-3.063,1,0.0626,0.0506,0.0,0.184,0.855,111.682,4,punk,2
25,0Jt4oMpZKEFRrHYBNglgzt,Dissection,Reinkaos,Maha-Kali,366333,False,0.571,0.853,1,-4.733,0,0.0303,3.37e-05,0.126,0.0919,0.648,109.019,4,black-metal,40
26,5dG3KI5rIUwiUQNNr3Y1to,A.R. Rahman;Sid Sriram;Issrath Quadhri,I - Manoharudu (Original Motion Picture Soundtrack),Nuvvunte Naa Jathagaa,352613,False,0.45,0.686,0,-4.111,1,0.0361,0.126,0.0,0.147,0.208,78.973,4,pop-film,61
27,4C7j2x6EiKygp7V1LjINCO,DJ Flex;Kyle Edwards,Controlla Anthem,Controlla Anthem,110210,True,0.904,0.871,8,-8.588,1,0.403,0.00645,5.21e-06,0.0697,0.346,144.993,4,club,39
28,0tUVJBF7wuTyS0LBD6VHIg,The Bad Kids,Dede 3x,Dede 3x,99004,False,0.864,0.73,6,-5.222,0,0.349,0.00156,0.0,0.114,0.202,97.969,4,kids,11
29,0XTjmmvtnqYBbMtMpXFjVB,Ricardo Iorio,Atesorando los cielos,No Me Cambiarán,378613,False,0.292,0.766,7,-3.658,1,0.0343,0.0412,0.00016,0.0996,0.225,141.028,4,heavy-metal,20
30,63gHnuI9MzZA4lLob8t9IY,Thug Life,Thug Life: Volume 1,Pour Out A Little Liquor,209466,True,0.705,0.71,1,-8.208,1,0.287,0.122,0.0,0.656,0.647,87.994,4,hardcore,58
31,5BkNCuxzzid0gz9sx3NNbX,First Aid Kit,Stay Gold,My Silver Lining,215493,False,0.479,0.725,2,-4.671,1,0.0335,0.026,0.000129,0.209,0.43,101.938,4,swedish,66
32,4KLXhuPL5YS4mYZFL8XGBM,SPEECHLESS;Ryan Celsius Sounds,Isolation,Alone Forever,80760,False,0.755,0.251,9,-11.074,1,0.0761,0.958,0.77,0.105,0.0583,110.148,4,chill,58
33,40KUzcToZooV3Gair9v4I9,Flora Matos,FLORA DE CONTROLE,CHEI DE GATA,159937,True,0.8,0.724,1,-8.101,0,0.0404,0.388,0.000145,0.125,0.685,134.945,4,r-n-b,42
34,3p4UTiSIIpP4LFn0KEyEOj,Eason Chan,Live For Today,十面埋伏,232119,False,0.559,0.474,0,-6.359,1,0.0287,0.231,0.0,0.105,0.399,138.031,4,cantopop,39
35,29taYyy3cbuuS9L2fPWbuN,Hoodoo Gurus,Mars Needs Guitars!,Mars Needs Guitars! - 2005 Remaster,173160,False,0.522,0.853,5,-3.973,1,0.0319,0.000145,0.696,0.15,0.794,102.905,4,power-pop,20
36,3iFrnwcE635aABiCZWULxP,Kinobe;Stephen Hague,Slip Into Something More Comfortable,Slip Into Something More Comfortable - Stephen Hague 2016 Mix,287776,False,0.513,0.661,8,-10.635,1,0.0341,0.0182,0.878,0.38,0.355,174.619,4,trip-hop,54
37,1CHIhjz4MKZXzGk8Ncebib,Skylar Grey,Furious 7: Original Motion Picture Soundtrack,I Will Return,236440,False,0.534,0.646,0,-7.533,1,0.0343,0.168,4.74e-06,0.151,0.0562,124.872,4,piano,28
38,6TFUGAC1zk57FICwy1wZNW,Daddy Yankee;Natti Natasha;Becky G;Bad Bunny,Homecoming Latin Party,Dura - Remix,242160,False,0.772,0.803,1,-3.035,1,0.0468,0.187,0.0,0.434,0.853,94.98,4,hip-hop,0
39,1Elcx6HbpFFtgFWKbKaThT,Never Ending Game,Just Another Day,Puppet,149425,False,0.389,0.973,1,-5.404,0,0.0992,0.00018,0.705,0.0845,0.294,93.603,4,hardcore,29
40,4EXoyGeHXMoaxM4RthcM1g,James Brown,A Very 60s Christmas,"Merry Christmas, I Love You",151586,False,0.763,0.702,7,-5.992,1,0.0806,0.567,0.0,0.078,0.601,120.414,4,funk,0
41,1iUbWa9S8Eqvpdsg5Aj7EW,Dominguinhos,Chegando de Mansinho,Preciso de Teu Sorriso,189040,False,0.592,0.723,5,-7.806,1,0.0386,0.561,0.0,0.251,0.924,155.894,4,forro,37
42,5qqabIl2vWzo9ApSC317sa,Oasis,(What's The Story) Morning Glory? [Remastered],Wonderwall - Remastered,258773,False,0.378,0.896,2,-4.066,1,0.0407,0.000452,0.0,0.194,0.469,174.302,4,rock,78
